DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/core/cache/__init__.py first seen with mtime 1728046927.4313042
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/rest_framework/schemas/__init__.py first seen with mtime 1728047727.1098223
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1728046926.8116949
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/indexing.py first seen with mtime 1729027988.227651
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/lib-dynload/_sha3.cpython-38-darwin.so first seen with mtime 1695035332.0
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/sqlparse/cli.py first seen with mtime 1728046926.552981
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/inspect.py first seen with mtime 1695035378.9427729
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/common.py first seen with mtime 1729027988.2260418
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/core/cache/backends/base.py first seen with mtime 1728046927.4318154
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/lib/ufunclike.py first seen with mtime 1729027987.034793
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/test/html.py first seen with mtime 1728046927.4937012
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/difflib.py first seen with mtime 1695035378.9111788
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/views/static.py first seen with mtime 1728046927.5103753
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/importlib/machinery.py first seen with mtime 1695035380.4594111
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/getpass.py first seen with mtime 1695035378.9297657
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/strings/object_array.py first seen with mtime 1729027988.2314184
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pygments/styles/_mapping.py first seen with mtime 1729027633.682053
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/urllib/__init__.py first seen with mtime 1695035381.2257853
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/lib/scimath.py first seen with mtime 1729027987.0269406
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/random/_philox.cpython-38-darwin.so first seen with mtime 1729027987.0554261
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/_libs/ops.cpython-38-darwin.so first seen with mtime 1729027988.5632503
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/dateutil/__init__.py first seen with mtime 1729027635.0202253
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/io/parquet.py first seen with mtime 1729027988.2674844
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/urllib3/filepost.py first seen with mtime 1729027879.40309
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/reshape/pivot.py first seen with mtime 1729027988.230855
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/geographiclib/geomath.py first seen with mtime 1729149488.6784449
DEBUG 2024-10-17 14:29:23,797 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/arrays/floating.py first seen with mtime 1729027988.2526062
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/utils/translation/trans_real.py first seen with mtime 1728046927.5086596
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/internals/concat.py first seen with mtime 1729027988.244077
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/unittest/signals.py first seen with mtime 1695035382.0170734
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/api/__init__.py first seen with mtime 1729027988.6119518
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/indexes/datetimelike.py first seen with mtime 1729027988.2633772
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/lib-dynload/_opcode.cpython-38-darwin.so first seen with mtime 1695035330.0
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/queue.py first seen with mtime 1695035378.9919162
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/spotter/fuelroute/utils.py first seen with mtime 1729175154.9286392
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/db/models/functions/window.py first seen with mtime 1728046927.4717236
